②⑼⑰⑹	'twas
②⑼⒀⑿	'tween
②⑼⑬⑪	twill
②⑼⑱⑵	'twould
⑯⑴⑮③	aback
⑯⑴⒁⑥	abase
⑯⑴⑮⑦	abash
⑯⑴⒁②	abate
⑮⑴⒁⑹	abbes
⑮⑴⑭⑥	abbess
⑮⑴⑬⑹	abbeys
⑮⑴⑯②	abbot
⑯⑴⒀⑫	abeam
⑯⑴⑭⑵	abed
⑯⑴⑭②	abet
⑯⑴⑽⒉	abhor
⑯⑴⒂⑵	abide
⒁⑴⑯⑪	able
⒁⑴⑪⒌	abler
⒁⑴⑪⑬	ably
⑯⑴⒉⑵	aboard
⑯⑴⒄⑵	abode
⑯⑴⒉②	abort
⑮⑴⒄⑹	abos
⑯⑴⑲②	about
⑯⑴⒃⑷	above
⑯⑴⒏⑥	abuse
⑯⑴⒏⑹	abuse
⑯⑴⒃②	abut
⑯⑴⑬⑥	abyss
⑯③⒉⑵	accord
⑯③⑾⒅	accrue
⑯③⒏⑹	accuse
⒁⑥⑯⑹	aces
⑯⑧⒀⑷	achieve
⒁③⑬⑩	aching
⑮⑥⑬⑵	acid
⑮③⑫⑬	acme
⑮③⑿⑬	acne
⒁③⒉⑿	acorn
⑮③⑼⑯	acqua
⒁③⒌⑹	acres
⑮③②⒌	actor
⑮③②⑥	acts
⑯③⒏②	acute
⑮⑵⑬⑻	adage
⑮⑵⑯⑵	added
⑮⑵⒌⑹	adders
⑮⑵⑬⑩	adding
⑮⑵⑯⑪	addle
⑯⑵⒏⑥	adduce
⑯⑵⑽⒍	adhere
⑯⑵⒏⑹	adieus
⑯⑻⒆⑿	adjoin
⑯⑻⒋⑿	adjourn
⑯⑻⒃⑻	adjudge
⑯⑻⑱⒌	adjure
⑯⑵⒉⑵	adored
⑯⑵⒉⒌	adorer
⑯⑵⒉⑹	adores
⑯⑵⒉⑿	adorn
⒀⑻⑬⑥	aegis
⒀⑰⑿⑹	aeons
⒊⒁②⑥	aerates
⒊⒎⑪⑹	aerials
⑯④⒍⑵	afeared
⑯④⒊⑹	affairs
⑯④⒋⑫	affirm
⑯④⒉⑵	afford
⑯④⑾⒁	affray
⑯④⒂⒌	afire
⑯④⑱②	afoot
⑯④⑲⑪	afoul
⑳④②⒌	after
⑯⑶⒁⑿	again
⑯⑶⒁①	agape
⑮⑶⑯②	agate
⒁⑻⑯⑵	aged
⒁⑻⑬⑩	ageing
⒁⑻⑯⑹	ages
⑮⑶⑾⒄	aggro
⑮⑻⒂⑪	agile
⑯⑶⑬⑿	agin
⑯⑶⑪⒄	aglow
⑯⑶⑰⑶	agog
⑮⑶⒌⑯	agora
⑯⑶⑾⒀	agree
⒁⑶⒏⑹	agues
⑯⑽⑭⑵	ahead
⑯⑽⑯⑫	ahem
⒁⑵⑯⑵	aided
⒁⑵⑬⑩	aiding
