⑯⑴⒁②⑯⑵	abated
⑮⑴⑯②⑼⒈	abattoir
⑯⑴⒁⑯⑿⑥	abeyance
⑯⑴⒂⑵⑬⑩	abiding
⑮⑴⑻⑭③②	abject
⑯⑴⑰⑪⑬⑦	abolish
⑯⑴⒉②⑯⑵	aborted
⑯⑴⒉⑦⑯⑿	abortion
⑯⑴⒉②⑬⑷	abortive
⑯⑴⑾⑭⑥②	abreast
⑯⑴⑾⒃①②	abrupt
⑮⑴⑥⑯⑿⑥	absence
⑮⑴⑥⑯⑿②	absent
⑯⑴⑥⒉⑴⑵	absorbed
⑯⑴⑥⒉⑴⑹	absorbs
⑯⑴⑥②⒁⑿	abstain
⑯⑴⒏⑹⒌⑹	abusers
⑯⑴⒏⑥⑯⑹	abuses
⑯⑴⒏⑹⑬⑩	abusing
⑯⑴⒏⑥⑬⑷	abusive
⑮③⑥⑯⑿②	accent
⑯③⑥⑭①②	accept
⑮③⑥⑭⑥②	accessed
⑯③⑪⒁⑫⑵	acclaimed
⑮③⑯⑪⒁⑵	accolade
⑯③⒉⑵⑯⑵	accorded
⑯③⒉⑵⑬⑩	according
⑯③⒉⑵⒎⑿	accordion
⑯③⑲⑿②⑥	accounts
⑯③⑾⒅⑬⑩	accruing
⑮③⑨⒌⑯②	accurate
⑯③⒏⑹⑯⑹	accuses
⑯③⒏⑹⑬⑩	accusing
⑮⑥⑬②⒁②	acetate
⑯⑥⒀②⑬③	acetic
⑯⑧⒀⑷⑬⑩	achieving
⑯⑥⑬⑵⑬③	acidic
⑮⑥⑬⑵⑪⑬	acidly
⑮③⑼⑬⑭⑥	acquiesce
⑯③⑼⒂⒌⑵	acquired
⑯③⑼⒂⒌⑹	acquires
⑮③⑦⑯⑿⑹	actions
⑮③②⑾⑯⑥	actress
⑮③⑧⑱⑯⑪	actual
⑮③⑧⑱⒌⑬	actuary
⑯③⒏⑬②⑬	acuity
⑯③⒏②⑪⑬	acutely
⑯⑵⑮①②⒌	adaptor
⑮⑵⑬③②⑥	addicts
⑯⑵⑬⑦⑯⑿	addition
⑮⑵⑬②⑬⑷	additive
⑯⑵⑾⑭⑥②	addressed
⑮⑵⑾⑭⑥⒀	addressee
⑯⑵⑽⒍⑬⑩	adhering
⑯⑻⒆⑿⑬⑩	adjoining
⑮⑻⒃⑩③②	adjunct
⑯⑻⒃⑥②⑥	adjusts
⑮⑵⑫⒌⑯⑪	admiral
⑯⑵⑫⒂⒌⑵	admired
⑯⑵⑫⒂⒌⒌	admirer
⑯⑵⑫⒂⒌⑹	admires
⑯⑵⑫⑬②⑥	admits
⑯⑵⑰①②⑥	adopts
⑯⑵⑾⑬④②	adrift
⑮⑵⒃⑪②⑥	adults
⑯⑵⑷⑳⑿⑥	advance
⑮⑵⑷⑯⑿②	advent
⑮⑵⑷⒋⑴⑹	adverbs
⑮⑵⑷⒋②⑥	adverts
⑯⑵⑷⒂⑹⑵	advised
⑯⑵⑷⒂⑹⒌	adviser
⒊⑯⑵⑾⒄⑫	aerodrome
⒊⑯①⑪⒁⑿	aeroplane
⒊⑯⑥⑰⑪⑹	aerosols
⒊⒄⑥①⒁⑥	aerospace
⑮④⑯⑴⑯⑪	affable
⑯④⑭③②⑥	affects
⑯④⒋⑫⑬⑩	affirming
⑯④⒉⑵⑯⑵	afforded
⑯④⒉⑵⑬⑩	affording
⑯④⑾⒃⑿②	affront
⑮④⑶⑮⑿⑹	afghans
⑯⑶⒁⑿⑥②	against
⒁⑻⑯⑿⑥⑬	agency
⑯⑻⑭⑿⑵⑯	agenda
⒁⑻⑯⑿②⑥	agents
⑯⑶⑾⑭⑥⒌	aggressor
